#pan_ID	anns_in_og	genes_in_og	acacr.Acra3RX	aesev.CIAT22838	arath.Col0	bauva.BV-YZ2020	cerca.ISC453364	chafa.ISC494698	glyma.Wm82	lotja.MG20	medtr.A17_HM341	paran.WU01x14	phach.longxuteng	phavu.G19833	prupe.Lovell	quisa.S10	sento.Myeongyun	singl.CAF01	treor.RG33x02	vitvi.PN40024
LegSF.fam3.00050	18	492	24	20	20	21	17	23	39	37	43	39	23	24	23	35	22	18	35	29	
LegSF.fam3.00051	18	429	20	19	28	29	17	24	46	29	24	19	24	23	14	30	25	25	19	14	
LegSF.fam3.00052	18	275	14	13	10	16	11	13	33	15	17	12	15	15	12	18	16	19	13	13	
LegSF.fam3.00053	18	362	16	17	22	33	17	18	32	18	25	16	17	18	16	21	19	20	17	20	
LegSF.fam3.00054	18	442	24	17	12	32	21	19	31	18	25	27	25	15	37	21	11	13	33	61	
LegSF.fam3.00055	18	146	4	7	4	10	12	7	17	9	9	7	5	7	7	8	5	9	14	5	
LegSF.fam3.00056	18	539	32	2	169	8	17	26	12	117	42	8	1	18	33	11	29	4	4	6	
LegSF.fam3.00057	9	32	1	0	0	3	0	0	0	7	3	3	0	0	0	4	0	7	3	1	
LegSF.fam3.00058	18	350	18	16	27	20	13	19	40	18	33	13	18	20	17	21	13	18	12	14	
LegSF.fam3.00059	18	253	14	6	8	16	22	11	26	3	11	16	15	15	13	15	12	8	17	25	
LegSF.fam3.00060	17	306	5	7	0	22	29	13	38	10	65	1	28	18	1	17	21	12	2	17	
LegSF.fam3.00061	16	233	8	3	0	26	15	2	7	0	31	14	10	3	8	13	1	38	24	30	
LegSF.fam3.00062	18	584	10	15	6	65	42	35	27	27	66	56	30	19	41	28	31	11	55	20	
LegSF.fam3.00063	18	291	20	11	1	52	22	8	18	9	23	14	17	9	8	17	19	18	11	14	
LegSF.fam3.00064	18	198	8	6	7	19	19	9	10	7	7	21	9	7	5	13	9	12	17	13	
LegSF.fam3.00065	18	118	4	3	7	7	10	4	16	8	13	1	4	12	6	8	5	5	1	4	
LegSF.fam3.00066	18	285	24	14	22	15	17	17	12	17	17	16	13	8	19	12	13	12	18	19	
LegSF.fam3.00067	18	323	26	22	8	9	7	8	35	29	61	13	4	27	7	25	13	5	17	7	
LegSF.fam3.00068	18	248	13	11	11	15	12	11	23	11	13	13	15	12	11	22	11	17	15	12	
LegSF.fam3.00069	18	265	19	11	19	18	12	15	22	9	13	12	13	10	9	22	17	15	13	16	
LegSF.fam3.00070	18	210	15	10	11	15	13	11	16	8	17	11	4	7	15	12	11	6	13	15	
LegSF.fam3.00071	18	297	15	19	15	22	10	15	34	21	16	11	16	16	10	21	15	17	12	12	
LegSF.fam3.00072	17	222	20	13	0	29	41	12	7	6	15	3	35	5	2	6	15	7	3	3	
LegSF.fam3.00073	18	365	26	6	2	23	28	14	39	15	43	12	16	13	36	26	12	5	15	34	
LegSF.fam3.00074	18	326	15	22	14	26	13	19	39	15	18	13	18	18	13	21	17	20	13	12	
LegSF.fam3.00075	18	320	15	12	16	23	17	13	19	21	42	20	14	16	21	12	6	14	22	17	
LegSF.fam3.00076	18	317	15	14	17	25	16	17	31	15	33	13	15	17	10	17	17	22	15	8	
LegSF.fam3.00077	18	313	15	13	18	26	13	18	32	16	14	12	21	17	12	22	16	20	12	16	
LegSF.fam3.00078	18	360	20	11	14	22	24	30	16	31	30	15	17	16	17	26	19	16	14	22	
LegSF.fam3.00079	18	201	12	9	9	16	11	12	20	9	9	2	13	10	16	16	12	11	2	12	
LegSF.fam3.00080	18	331	16	15	21	23	16	18	32	19	26	12	21	15	12	20	20	21	11	13	
LegSF.fam3.00081	18	239	12	11	14	20	10	14	25	14	11	8	14	13	9	16	12	18	8	10	
LegSF.fam3.00082	18	632	47	19	32	24	39	33	51	23	56	37	16	26	33	52	13	18	33	80	
LegSF.fam3.00083	18	239	14	14	9	16	8	13	34	18	7	8	10	18	8	14	15	16	8	9	
